CustomerID,BirthDate,SSN,AccountID,AccountOpened,AccountType
0,1980,629-23-7357,39.0,2014-06-11,cd
1,no date,753-50-5099,61.0,2071-08-26,cd
2,1991-06-02,563-08-3960,,2017-06-05,savings
3,1980-01-03,349-06-4344,97.0,2000-05-21,savings
4,1958-02-05,271-52-0669,44.0,2012-04-02,savings
5,1962-03-28,565-79-9061,34.0,2000-02-23,cd
6,1988-10-13,925-20-5614,34.0,2048-04-12,checking
7,1973-12-18,826-91-6889,88.0,2038-01-29,checking
8,1976-10-28,379-95-4640,33.0,2023-04-24,checking
9,1989-09-18,967-45-9772,5.0,1991-06-27,savings
10,1965-11-13,685-77-0617,36.0,1999-05-11,checking
11,1998-11-21,005-68-8182,0.0,2045-04-25,savings
12,2014-09-29,142-61-9765,75.0,2033-05-09,checking
13,1970-03-02,885-12-2493,34.0,1985-08-07,cd
14,1973-02-17,990-13-1795,69.0,2041-02-12,cd
15,2011-04-16,618-43-3185,53.0,2087-05-11,savings
16,1960-04-20,622-20-8872,80.0,1991-09-16,checking
17,2022-08-21,746-70-1728,62.0,2063-02-26,checking
18,2019-07-10,510-27-8884,8.0,2033-12-02,checking
19,1994-05-31,456-95-5387,61.0,2019-08-28,checking
20,2001-07-11,965-79-8651,1.0,2019-07-04,checking
21,1954-06-23,082-43-4169,81.0,1966-08-23,cd
22,1993-07-28,945-46-0550,35.0,2046-08-12,savings
23,1952-08-31,221-51-2149,91.0,1954-04-09,checking
24,2007-01-30,928-03-3055,40.0,2045-10-09,cd
25,1977-12-20,687-94-0109,36.0,2036-10-17,checking
26,1980-07-19,163-17-0119,48.0,2001-05-11,cd
27,2017-11-02,172-13-2024,25.0,2094-02-18,savings
28,2023-12-11,573-21-5896,67.0,2054-03-22,checking
29,1987-11-07,506-87-2399,35.0,1989-11-15,checking
30,1956-08-15,767-80-5714,30.0,2014-11-05,cd
31,1985-03-01,551-69-7960,29.0,2061-11-18,savings
32,1986-04-04,581-85-6694,33.0,2001-01-25,cd
33,1959-06-18,441-79-4767,18.0,2003-01-21,cd
34,2011-09-29,207-37-1019,17.0,2055-08-19,savings
35,2010-10-16,396-74-2822,93.0,2056-11-04,checking
36,1967-11-09,300-49-7007,84.0,1978-07-12,checking
37,2011-12-13,446-87-7021,2.0,2090-03-20,cd
38,2016-01-21,390-29-5545,69.0,2065-12-20,savings
